gene_name	n_lineages	n_transcripts	lineages	transcripts
CD74	3	4	neurons,astrocytes,microglia	ISOT-2ad9-335c-2af9-8d6a:s150401600:e150412850:NC:FL,ISOT-6df7-46fd-935a-3300:s150401600:e150412800:AP:FL,ISOT-75c6-9c4c-9fee-0764:s150401650:e150412800:AP:FL,ISOT-bb2d-8957-59f0-08ee:s150401600:e150412950:AP:FL
CD81	3	5	neurons,astrocytes,microglia	ISOT-4f34-555c-c420-439f:s2382450:e2397400:DN:FL,ISOT-69ff-c5e8-811e-c7ae:s2377300:e2397400:AP:FL,ISOT-6af7-dca7-a3ca-bd38:s2377500:e2397450:NC:FL,ISOT-8850-4201-d6e9-ab56:s2383100:e2397400:AP:FL,ISOT-9b3e-9071-9d1e-0386:s2382500:e2397400:EC:FL
CD99	3	2	neurons,astrocytes,microglia	ISOT-0f79-280c-8c50-e23c:s2691300:e2741300:AP:FL,ISOT-9472-68da-0053-c6e2:s2691250:e2741350:EC:FL
CDC20	3	2	neurons,astrocytes,microglia	ISOT-5072-cec7-be5b-c670:s43359000:e43363250:AP:FL,ISOT-56bf-1bc0-55c0-12d9:s43358950:e43363250:AP:FL
CDC37L1	3	2	neurons,astrocytes,microglia	ISOT-d5c5-e487-2993-d7a1:s4679550:e4703250:AP:FL,ISOT-daa6-98db-126a-90d4:s4679550:e4708400:AP:FL
CDC42	3	4	neurons,astrocytes,microglia	ISOT-464f-a6f4-e942-ee99:s22052650:e22092950:AP:FL,ISOT-5c8f-54db-b0db-33ae:s22052700:e22090850:AP:FL,ISOT-98a0-e4bb-7b42-3afe:s22051000:e22091800:AP:FL,ISOT-f6f6-2254-4109-634f:s22052600:e22092950:AP:FL
CDC5L	3	2	neurons,astrocytes,microglia	ISOT-bdac-0e1c-a17d-8f49:s44387700:e44450450:AP:FL,ISOT-ebac-6208-29d4-19a9:s44387700:e44447050:NC:FL
CDH2	3	2	neurons,astrocytes,microglia	ISOT-2c0e-ecb6-f2b4-338c:s28011950:e28177850:AP:FL,ISOT-a962-219a-7bad-25d0:s27950950:e28177150:AP:FL
CDIPT	2	2	neurons,microglia	ISOT-0b22-ffd4-af8c-5a13:s29858350:e29863250:NC:FL,ISOT-c383-d4f4-9d06-e921:s29858350:e29863250:AP:FL
CDK2AP1	3	3	neurons,astrocytes,microglia	ISOT-404a-82c7-4813-c508:s123260950:e123272250:NC:FL,ISOT-ce42-cdb9-3f79-6ec1:s123260950:e123268300:AP:FL,ISOT-f300-d306-6862-4148:s123260950:e123271900:AP:FL
CDK2AP2	2	2	neurons,astrocytes	ISOT-0a66-3f17-6824-3fa9:s67506500:e67508650:AP:FL,ISOT-0c90-98a2-9043-5793:s67506450:e67508200:AP:FL
CDK5	3	2	neurons,astrocytes,microglia	ISOT-1fe3-6bd4-9a9c-e270:s151053800:e151057900:AP:FL,ISOT-759e-796b-86ba-6078:s151053800:e151057900:NC:FL
CDKN1C	3	2	neurons,astrocytes,microglia	ISOT-9608-ffd0-0288-33a7:s2883200:e2885800:AP:FL,ISOT-d991-ba8a-0a0f-aa61:s2883200:e2885750:AP:FL
CDKN2A	3	2	neurons,astrocytes,microglia	ISOT-2bf4-84d6-7d0b-b8e4:s21967750:e21974900:AP:FL,ISOT-5651-5c64-a606-2479:s21967750:e21994400:AP:FL
CDKN2D	3	2	neurons,astrocytes,microglia	ISOT-5419-9edb-129e-9f1e:s10566450:e10569050:NC:FL,ISOT-cdd0-b545-6dab-4b18:s10566450:e10569000:AP:FL
CDV3	3	2	neurons,astrocytes,microglia	ISOT-b4ba-9499-4c17-8575:s133574400:e133590300:AP:FL,ISOT-bc62-b4a3-dd26-2f8d:s133574450:e133590300:DN:FL
CEBPZ	3	2	neurons,astrocytes,microglia	ISOT-2478-98af-a523-f6b4:s37201700:e37231600:EC:FL,ISOT-4950-26ed-50b7-314d:s37201600:e37231600:AP:FL
CELF1	3	2	neurons,astrocytes,microglia	ISOT-844f-df3d-8612-bfba:s47466100:e47553150:NC:FL,ISOT-9ffd-ad8d-3863-ac78:s47465900:e47553150:AP:FL
CELF2	2	2	astrocytes,microglia	ISOT-03a4-75cd-743d-05ef:s11017900:e11336700:AP:FL,ISOT-a134-c75d-7ab4-dbb3:s11165250:e11331650:AP:FL
CENPW	3	2	neurons,astrocytes,microglia	ISOT-8fa5-80a6-10d7-5c92:s126340150:e126348650:AP:FL,ISOT-e1b4-15cb-972c-de5f:s126340100:e126348900:AP:FL
CENPX	3	3	neurons,astrocytes,microglia	ISOT-1ce0-c394-cbe2-e550:s82018700:e82022900:EC:FL,ISOT-2238-62cd-be69-306b:s82018700:e82022900:EC:FL,ISOT-8163-a4ba-a975-8255:s82018700:e82022900:AP:FL
CEP15	3	3	neurons,astrocytes,microglia	ISOT-4566-2db7-ed70-0885:s62319000:e62336250:AP:FL,ISOT-76a9-2cc1-c672-705c:s62319700:e62333650:AP:FL,ISOT-dfb2-a5fd-7dc7-f951:s62319000:e62336250:AP:FL
CEP170	3	6	neurons,astrocytes,microglia	ISOT-405e-eddc-bd4b-e9d3:s243199050:e243255250:EC:FL,ISOT-6746-837f-7222-3411:s243185750:e243255250:EC:FL,ISOT-a3b1-e5d0-9e0c-a72f:s243164950:e243255300:AP:FL,ISOT-c0a4-5c3e-da68-792a:s243165750:e243255250:NC:FL,ISOT-d0f2-794f-5fb4-271a:s243199050:e243255250:EC:FL,ISOT-e815-bedc-1d51-1526:s243164950:e243255250:NC:FL
CEP350	2	2	neurons,astrocytes	ISOT-c855-a5b4-70c3-59a6:s180084000:e180098950:DN:FL,ISOT-cbbd-0aa1-35ee-1043:s179954700:e180023300:AP:FL
CERS2	3	2	neurons,astrocytes,microglia	ISOT-da9b-f9b4-f076-36c2:s150965150:e150974850:AP:FL,ISOT-dc5e-ba45-ec56-6b7f:s150965250:e150974700:NC:FL
CFAP97	3	2	neurons,astrocytes,microglia	ISOT-3049-a0a3-9592-750f:s185161800:e185204000:AP:FL,ISOT-a630-ffc0-cfdb-67f2:s185159650:e185204050:AP:FL
CFL1	2	2	astrocytes,microglia	ISOT-8f12-73c6-1f55-8c12:s65854800:e65858200:EC:FL,ISOT-f25c-a43f-c24b-5d84:s65854650:e65858200:AP:FL
CFLAR	3	2	neurons,astrocytes,microglia	ISOT-46ed-648b-fff0-604b:s201116150:e201141600:AP:FL,ISOT-7efc-e791-3cb6-88f6:s201116150:e201176700:AP:FL
CHCHD10	2	2	neurons,microglia	ISOT-1efc-cb1a-6563-2f97:s23765800:e23768000:AP:FL,ISOT-4542-e247-5f81-8ab6:s23765800:e23768000:AP:FL
CHCHD7	3	4	neurons,astrocytes,microglia	ISOT-1fef-0ccc-c776-5aae:s56211750:e56218850:AP:FL,ISOT-8a4c-c350-5c1f-0bf3:s56211750:e56218800:AP:FL,ISOT-ef7b-6e5b-64f3-bbc1:s56211650:e56217550:AP:FL,ISOT-fc98-6bfa-e9a6-7490:s56211750:e56218550:AP:FL
CHD1	2	2	astrocytes,microglia	ISOT-89d1-4ba2-8983-d54a:s98899500:e98929700:AP:FL,ISOT-aa9b-d3f7-9218-864d:s98853950:e98929050:AP:FL
CHD2	2	2	astrocytes,microglia	ISOT-bd0a-7535-a549-fdcb:s92900150:e93022200:AP:FL,ISOT-e101-20f4-7e10-6f04:s92900300:e92943050:NC:FL
CHD4	3	3	neurons,astrocytes,microglia	ISOT-0aee-e19e-792a-91c9:s6570050:e6580750:AP:FL,ISOT-2ad8-129a-9bba-9d77:s6600500:e6606700:EC:FL,ISOT-b7ae-d45c-dd72-ef58:s6570050:e6587450:DN:FL
CHD6	2	2	neurons,microglia	ISOT-4422-a909-641a-4551:s41498100:e41618450:AP:FL,ISOT-582f-cc22-c1f2-0c23:s41402050:e41618400:AP:FL
CHD9	3	2	neurons,astrocytes,microglia	ISOT-accb-ab39-4b6c-a28e:s53208450:e53222800:AP:FL,ISOT-dde1-2273-83ef-6d56:s53207950:e53326900:AP:FL
CHGA	3	4	neurons,astrocytes,microglia	ISOT-2a51-67b9-de81-d7fc:s92923150:e92935300:AP:FL,ISOT-2c1f-6f74-c151-12ed:s92923150:e92935300:NC:FL,ISOT-64d7-4366-4505-4d37:s92923150:e92935300:NC:FL,ISOT-9a01-41a7-2c35-54af:s92923150:e92935300:EC:FL
CHGB	3	4	neurons,astrocytes,microglia	ISOT-02e6-9029-759b-e988:s5911550:e5925400:NC:FL,ISOT-29dd-3915-360f-6c8c:s5911500:e5925400:NC:FL,ISOT-72fd-c30a-a188-3455:s5911500:e5925400:AP:FL,ISOT-bbd9-9256-1126-a536:s5911250:e5924100:AP:FL
CHI3L1	3	2	neurons,astrocytes,microglia	ISOT-1cee-b7f5-ba0e-5e1f:s203178900:e203186750:AP:FL,ISOT-5ee8-08e9-d829-bb5f:s203178900:e203186750:EC:FL
CHM	2	2	astrocytes,microglia	ISOT-756b-dc41-4ab2-2b51:s85863950:e86047600:NC:FL,ISOT-8d55-5303-667e-feaa:s85861150:e86047600:AP:FL
CHMP2A	3	3	neurons,astrocytes,microglia	ISOT-6765-53ee-6c03-4f6f:s58551550:e58555150:AP:FL,ISOT-bc3c-64fb-d315-aaf5:s58551550:e58554650:AP:FL,ISOT-c3d4-cb83-a67e-833c:s58551550:e58555000:AP:FL
CHORDC1	2	2	astrocytes,microglia	ISOT-5772-0975-6589-d046:s90202400:e90223050:NC:FL,ISOT-99a9-89c6-a76d-ee63:s90200400:e90223050:AP:FL
CHTOP	2	2	neurons,astrocytes	ISOT-b2ca-0813-ab7b-e83e:s153634050:e153645500:EC:FL,ISOT-c7fc-5445-0ebf-a55f:s153633950:e153646350:AP:FL
CHURC1	2	3	neurons,astrocytes	ISOT-0f94-177b-c6b9-84d2:s64914350:e64935400:AP:FL,ISOT-5f08-b32e-fabf-87cd:s64914450:e64932350:EC:FL,ISOT-dbe2-571d-29b1-5461:s64914400:e64932350:AP:FL
CIAO1	3	2	neurons,astrocytes,microglia	ISOT-4ff1-04a8-8b6d-35ab:s96266200:e96274200:AP:FL,ISOT-d0ed-f75c-808a-8150:s96266150:e96274200:AP:FL
CIAO2A	3	2	neurons,astrocytes,microglia	ISOT-63fa-248f-55a1-fef7:s64072550:e64093850:AP:FL,ISOT-bd53-9b25-fcf1-6cbb:s64072550:e64094300:AP:FL
CINP	2	2	neurons,astrocytes	ISOT-4017-9388-063d-62a8:s102341100:e102362950:AP:FL,ISOT-6f97-3a7b-c820-0bfc:s102348250:e102362900:AP:FL
CIRBP	3	3	neurons,astrocytes,microglia	ISOT-8f0a-c7e5-8bc3-88ac:s1269300:e1274850:EC:FL,ISOT-b235-3a76-a690-68fd:s1269300:e1274850:EC:FL,ISOT-cd27-a719-4b05-27d0:s1269300:e1273200:AP:FL
CISD3	2	2	neurons,microglia	ISOT-8f72-c1fc-5607-5fb0:s38730300:e38735650:AP:FL,ISOT-fb4c-7324-77a4-ce3d:s38730350:e38735050:AP:FL
CKB	3	2	neurons,astrocytes,microglia	ISOT-4e4e-e51e-656e-6345:s103519650:e103522850:EC:FL,ISOT-d70c-1c4a-9999-ce41:s103519650:e103522850:AP:FL
CKLF	3	5	neurons,astrocytes,microglia	ISOT-3ece-254d-6cd8-67a9:s66552550:e66566100:AP:FL,ISOT-437d-8517-2fed-b523:s66552550:e66566100:AP:FL,ISOT-9e47-9c97-f461-e2f5:s66552550:e66566100:AP:FL,ISOT-a4aa-0420-7d37-b4e4:s66552550:e66566100:AP:FL,ISOT-ef23-8e4b-24f3-eb49:s66552600:e66566100:EC:FL
CLASP2	3	2	neurons,astrocytes,microglia	ISOT-2e19-a7f4-011b-df56:s33496200:e33505500:AP:FL,ISOT-dc10-0349-47f0-240c:s33496950:e33535300:NC:FL
CLCN4	3	2	neurons,astrocytes,microglia	ISOT-7227-62d1-d616-edce:s10156950:e10234100:AP:FL,ISOT-b51b-0841-e404-52b1:s10156950:e10237700:AP:FL
CLDN7	2	2	astrocytes,microglia	ISOT-0ad9-20d9-472f-4dd2:s7259900:e7262500:AP:FL,ISOT-ec76-094f-82ac-bf10:s7260100:e7263250:AP:FL
CLDND1	3	2	neurons,astrocytes,microglia	ISOT-6fa3-2056-500c-629d:s98515450:e98523100:AP:FL,ISOT-72fc-8df1-ce47-414d:s98515450:e98522950:AP:FL
CLEC11A	3	2	neurons,astrocytes,microglia	ISOT-a053-8008-6712-17dc:s50723350:e50725750:AP:FL,ISOT-df38-2178-5df4-fb75:s50723300:e50725750:AP:FL
CLEC7A	3	3	neurons,astrocytes,microglia	ISOT-49c7-e9d7-8351-c13b:s10116750:e10130200:NC:FL,ISOT-5b08-a020-c470-4914:s10127300:e10130200:AP:FL,ISOT-99cc-bce4-f0a2-87f2:s10116750:e10130250:AP:FL
CLIC1	3	4	neurons,astrocytes,microglia	ISOT-743b-461d-d06d-7702:s31730550:e31736600:NC:FL,ISOT-7e4b-c9b7-5f45-9230:s31730550:e31736600:AP:FL,ISOT-8f15-75b5-2412-b2df:s31730550:e31736550:AP:FL,ISOT-b96f-f64c-2635-70bf:s31730550:e31736550:AP:FL
CLIC4	3	2	neurons,astrocytes,microglia	ISOT-3204-6f5a-2a08-62dc:s24745400:e24844350:AP:FL,ISOT-b849-00cf-4aa4-fa8b:s24745350:e24844300:AP:FL
CLINT1	3	3	neurons,astrocytes,microglia	ISOT-0b37-f2ef-b39e-3e34:s157786250:e157859150:EC:FL,ISOT-1123-543d-8979-44a1:s157791600:e157859150:NC:FL,ISOT-965c-9faa-1094-4c67:s157786250:e157859150:AP:FL
CLIP3	3	3	neurons,astrocytes,microglia	ISOT-1152-7120-e7aa-d61d:s36014650:e36032900:NC:FL,ISOT-2bf8-519d-4f39-43ba:s36014650:e36032900:AP:FL,ISOT-408e-e437-efc3-ca10:s36014650:e36032850:NC:FL
CLN3	2	2	neurons,astrocytes	ISOT-187a-eea6-adbe-f80a:s28477250:e28492100:AP:FL,ISOT-2aca-9d3f-f5d9-8633:s28477250:e28492100:AP:FL
CLN5	3	2	neurons,astrocytes,microglia	ISOT-089b-e5d6-800d-f96b:s76990650:e77005150:AP:FL,ISOT-f935-a4c6-fa20-9f88:s76992050:e76997900:AP:FL
CLSTN1	2	2	neurons,microglia	ISOT-758c-c520-110e-0c5e:s9728900:e9824000:AP:FL,ISOT-dc56-66e4-0dc7-ab00:s9729000:e9823700:AP:FL
CLTA	3	3	neurons,astrocytes,microglia	ISOT-3b28-fbbc-f20d-9c24:s36190900:e36212100:AP:FL,ISOT-4d86-49aa-e6da-5317:s36190950:e36212100:AP:FL,ISOT-d504-fd8b-261e-111b:s36190900:e36212100:AP:FL
CLTB	3	2	neurons,astrocytes,microglia	ISOT-3606-0123-a7ff-1a54:s176392500:e176416550:AP:FL,ISOT-d2a6-28c2-30f2-ba6b:s176392500:e176416550:AP:FL
CLTC	3	4	neurons,astrocytes,microglia	ISOT-22aa-9b1e-c630-98b2:s59620100:e59694800:EC:FL,ISOT-2337-be97-5ae1-b298:s59619900:e59695100:AP:FL,ISOT-4628-b723-0af6-81f6:s59619850:e59664000:NC:FL,ISOT-b133-63f5-6559-343c:s59619600:e59674850:AP:FL
CMC1	3	2	neurons,astrocytes,microglia	ISOT-2462-6168-6024-237d:s28241600:e28319800:AP:FL,ISOT-dea3-9205-a2b2-4f58:s28241600:e28325150:AP:FL
CMC2	3	3	neurons,astrocytes,microglia	ISOT-0301-ac1c-1ded-483f:s80975800:e81006950:AP:FL,ISOT-817b-fed7-ee11-63f1:s80975800:e81006900:EC:FL,ISOT-efd7-b129-f16b-805a:s80966400:e81006900:AP:FL
CMPK1	3	2	neurons,astrocytes,microglia	ISOT-798a-1e76-6073-2813:s47333750:e47378850:AP:FL,ISOT-798a-1e76-6073-2813:s47333900:e47378850:AP:FL
CMTM3	3	2	neurons,astrocytes,microglia	ISOT-530d-bd21-31e0-83b5:s66605500:e66613750:EC:FL,ISOT-ebe6-89d8-3e73-fa29:s66604100:e66613900:AP:FL
CNBP	2	3	neurons,astrocytes	ISOT-6e0f-03de-447a-ce44:s129169450:e129183900:AP:FL,ISOT-6f51-f1f2-5937-9e73:s129169450:e129183950:AP:FL,ISOT-7e09-1447-82d0-eb4c:s129167800:e129183900:AP:FL
CNDP2	3	3	neurons,astrocytes,microglia	ISOT-906c-4d3c-f8a8-e85c:s74496300:e74521150:NC:FL,ISOT-9f86-d822-66d6-307c:s74499900:e74521150:DN:FL,ISOT-caa4-ed25-a9d8-91b6:s74496350:e74521150:EC:FL
CNN2	3	2	neurons,astrocytes,microglia	ISOT-693a-e56f-5cc0-a5bc:s1026600:e1039100:AP:FL,ISOT-fc53-4234-8e9d-f45a:s1026600:e1039100:AP:FL
CNN3	3	2	neurons,astrocytes,microglia	ISOT-501d-7703-cfef-f1ac:s94896950:e94927150:AP:FL,ISOT-c6bb-d3d0-e360-92f6:s94896900:e94927250:AP:FL
CNP	3	3	neurons,astrocytes,microglia	ISOT-5157-0809-3e77-5203:s41966800:e41975200:AP:FL,ISOT-62c4-ad15-daea-23a4:s41966750:e41975200:NC:FL,ISOT-f3fd-9088-4bf6-ad7a:s41966750:e41977750:AP:FL
CNPY2	3	2	neurons,astrocytes,microglia	ISOT-2043-94ff-8827-f0c1:s56314450:e56316050:AP:FL,ISOT-d6e0-8783-a3fa-c267:s56309800:e56316000:AP:FL
CNR1	3	2	neurons,astrocytes,microglia	ISOT-0000-0000-0000-07b3:s88139850:e88145400:AP:FL,ISOT-512b-66ad-49a0-0dce:s88139850:e88143000:AP:FL
CNRIP1	3	2	neurons,astrocytes,microglia	ISOT-273a-578d-8fef-2e50:s68293000:e68320050:AP:FL,ISOT-6511-07b4-8d42-a3c6:s68293000:e68319950:AP:FL
CNST	3	3	neurons,astrocytes,microglia	ISOT-26d3-0b7c-9611-6d70:s246566450:e246668600:AP:FL,ISOT-c7c3-4a64-5919-964e:s246566500:e246667150:DN:FL,ISOT-d8c4-860e-5d79-386b:s246566500:e246634000:AP:FL
CNTN1	3	2	neurons,astrocytes,microglia	ISOT-18da-1797-5b83-d425:s40827850:e41072450:NC:FL,ISOT-2bba-1a16-b8df-efdd:s40827800:e41072450:AP:FL
COA1	3	2	neurons,astrocytes,microglia	ISOT-3406-a54c-3f0c-2534:s43639250:e43729550:AP:FL,ISOT-7e13-a14b-beb8-3620:s43639250:e43730050:AP:FL
COA8	3	3	neurons,astrocytes,microglia	ISOT-3cf9-8bc0-2e06-12d1:s103562950:e103590550:AP:FL,ISOT-40b4-bff9-aeb1-a259:s103562950:e103590550:AP:FL,ISOT-a904-6fa2-f142-28e7:s103562950:e103590550:EC:FL
COIL	2	2	neurons,microglia	ISOT-7f53-078b-7d15-e931:s56950650:e56961150:AP:FL,ISOT-7f53-078b-7d15-e931:s56950700:e56961150:AP:FL
COL1A1	3	7	neurons,astrocytes,microglia	ISOT-0fcf-855c-8071-fd44:s50184100:e50201650:AP:FL,ISOT-18c3-4c9c-1714-7d72:s50184100:e50201650:NC:FL,ISOT-3953-abbc-3c40-0128:s50184100:e50201650:AP:FL,ISOT-7bba-f499-5fd2-b06e:s50184050:e50200150:NC:FL,ISOT-a2e9-04b9-80ad-eb5e:s50185200:e50201650:EC:FL,ISOT-c9a0-7425-c277-8a55:s50184050:e50201650:NC:FL,ISOT-ff2b-eb72-72b5-d777:s50185200:e50201500:NC:FL
COL1A2	3	3	neurons,astrocytes,microglia	ISOT-490f-14d9-f31f-87e1:s94394850:e94431250:AP:FL,ISOT-8e21-99de-3f44-3ac2:s94394850:e94431250:NC:FL,ISOT-c829-45f8-475b-7699:s94394850:e94431250:NC:FL
COL2A1	3	3	neurons,astrocytes,microglia	ISOT-44f6-c220-07ac-b68b:s47972950:e48004500:NC:FL,ISOT-8044-623e-e1fc-6848:s47972950:e48004500:AP:FL,ISOT-a286-661b-7228-f009:s47972950:e48004400:NC:FL
COL4A1	3	3	neurons,astrocytes,microglia	ISOT-0771-8da9-56aa-d1c1:s110148950:e110307200:NC:FL,ISOT-7ab6-c120-4cab-d85c:s110149050:e110307200:NC:FL,ISOT-92bb-7133-7e39-1ce1:s110148950:e110307200:AP:FL
COL6A1	2	2	astrocytes,microglia	ISOT-7047-3b27-0ee1-395e:s45981750:e46005050:NC:FL,ISOT-b212-1f62-dcc3-5346:s46001150:e46005100:AP:FL
COL6A2	3	3	neurons,astrocytes,microglia	ISOT-422b-8500-0e6c-b0c5:s46098100:e46132850:NC:FL,ISOT-4c66-a2e2-fd0f-e8b5:s46098100:e46132850:AP:FL,ISOT-af6b-0334-3d3c-30cc:s46098100:e46129850:AP:FL
COL9A3	3	3	neurons,astrocytes,microglia	ISOT-d060-520b-e15e-6d90:s62817050:e62841200:AP:FL,ISOT-d620-ab46-e723-bca9:s62836400:e62841200:AP:FL,ISOT-d6ec-562d-e5df-8e6d:s62817050:e62841200:NC:FL
COMMD5	3	3	neurons,astrocytes,microglia	ISOT-4c0d-3b2f-3ff3-3f81:s144850150:e144853750:AP:FL,ISOT-6907-7eb2-8044-1d12:s144850150:e144853100:AP:FL,ISOT-e7f2-ce07-b61f-b453:s144850150:e144853050:AP:FL
COMMD6	3	2	neurons,astrocytes,microglia	ISOT-602f-1c11-419b-cbb6:s75526400:e75537850:AP:FL,ISOT-e37f-0108-533a-0326:s75525200:e75537850:AP:FL
COMMD9	3	3	neurons,astrocytes,microglia	ISOT-108f-cf10-5ba1-146c:s36273950:e36289800:AP:FL,ISOT-cf24-2619-e74b-66fa:s36273950:e36289800:DN:FL,ISOT-eda4-19e3-7a4e-d2e4:s36273950:e36289450:DN:FL
COPA	3	2	neurons,astrocytes,microglia	ISOT-a13e-7d1b-c47b-09e8:s160288550:e160343300:AP:FL,ISOT-c41d-a4dd-eda6-5ed6:s160289250:e160343250:AP:FL
COPB1	3	2	neurons,astrocytes,microglia	ISOT-0f26-7d24-5e7d-bb73:s14457500:e14499850:AP:FL,ISOT-f441-1f7a-74f0-ec59:s14457500:e14499850:NC:FL
COPB2	3	2	neurons,astrocytes,microglia	ISOT-11ee-2793-e560-0820:s139357400:e139389650:AP:FL,ISOT-d1e7-f0f5-d8e8-46f6:s139357600:e139389750:AP:FL
COPE	3	3	neurons,astrocytes,microglia	ISOT-19bb-5153-649b-f247:s18899500:e18919400:AP:FL,ISOT-d69e-6e45-5330-7cb4:s18899500:e18919400:EC:FL,ISOT-fb2a-58dd-4f2e-e03c:s18899500:e18919400:AP:FL
COPS2	3	3	neurons,astrocytes,microglia	ISOT-2168-bb07-e5a4-e18d:s49122700:e49155600:AP:FL,ISOT-5812-1591-1e7c-d9c7:s49134000:e49155600:AP:FL,ISOT-8c7f-23e2-22f1-f427:s49127350:e49155700:AP:FL
COPS3	3	2	neurons,astrocytes,microglia	ISOT-3f01-ff3f-6490-b617:s17246800:e17281250:EC:FL,ISOT-d3b5-73bc-a84a-b3a2:s17246600:e17281250:AP:FL
COPS9	3	2	neurons,astrocytes,microglia	ISOT-8bd0-b73f-d427-dabe:s240130800:e240136350:AP:FL,ISOT-9b88-e635-34bf-652e:s240130800:e240136200:AP:FL
COQ4	3	3	neurons,astrocytes,microglia	ISOT-953b-74ca-45de-872f:s128322500:e128323600:AP:FL,ISOT-b934-260d-7e4b-8a9b:s128322550:e128323600:AP:FL,ISOT-c382-c566-540b-1269:s128322800:e128334100:AP:FL
COX11	3	2	neurons,astrocytes,microglia	ISOT-bda4-d5c7-9f04-83a7:s54951900:e54968700:AP:FL,ISOT-d66b-dc86-d95d-5169:s54962900:e54968750:AP:FL
COX14	3	3	neurons,astrocytes,microglia	ISOT-0ec8-f100-8edf-dbbd:s50112200:e50120500:AP:FL,ISOT-c8a2-6622-d998-8b63:s50112200:e50120500:AP:FL,ISOT-df13-eda3-eced-e384:s50112200:e50120500:AP:FL
COX16	3	3	neurons,astrocytes,microglia	ISOT-1ed6-b89b-607d-cbee:s70326050:e70359750:AP:FL,ISOT-9186-18e4-de57-5430:s70325050:e70359700:AP:FL,ISOT-c912-67c0-29af-eec2:s70326050:e70359700:DN:FL
COX20	3	2	neurons,astrocytes,microglia	ISOT-456d-8644-ed42-e564:s244835200:e244843600:AP:FL,ISOT-8ee8-56f1-4d90-6617:s244835650:e244843900:AP:FL
COX4I1	3	4	neurons,astrocytes,microglia	ISOT-7442-853b-486d-bbee:s85799650:e85807050:AP:FL,ISOT-87f0-fd44-37b4-1bdc:s85799650:e85807050:AP:FL,ISOT-8d61-44a8-9548-fc00:s85799650:e85807100:AP:FL,ISOT-efe1-145d-0d41-6469:s85799700:e85807050:NC:FL
COX5A	3	2	neurons,astrocytes,microglia	ISOT-1f6a-4408-addf-9c3d:s74920250:e74938100:NC:FL,ISOT-d2fe-8f35-db53-c078:s74919750:e74938100:AP:FL
COX6C	3	5	neurons,astrocytes,microglia	ISOT-74c6-f1be-d8a9-c2b3:s99878100:e99893700:AP:FL,ISOT-87eb-4358-8280-f5bf:s99874800:e99893700:EC:FL,ISOT-8d2d-31f1-12b6-77b6:s99878100:e99893650:AP:FL,ISOT-a548-256c-b00f-7d05:s99874950:e99893750:AP:FL,ISOT-ce66-e949-59b5-9d80:s99877850:e99893750:AP:FL
COX7B	3	2	neurons,astrocytes,microglia	ISOT-b61b-f5e6-c06b-22c3:s77898500:e77905400:AP:FL,ISOT-f982-14fe-c941-616f:s77899450:e77907400:AP:FL
CPA4	3	2	neurons,astrocytes,microglia	ISOT-262d-e87e-e133-da73:s130293150:e130324200:AP:FL,ISOT-bbab-d459-b725-4a7c:s130293150:e130324200:NC:FL
CPE	3	4	neurons,astrocytes,microglia	ISOT-1495-45cf-6ba9-a3b3:s165378950:e165498350:NC:FL,ISOT-2323-35dc-0434-c2d9:s165379400:e165498350:NC:FL,ISOT-3cff-68dd-e3d0-7f19:s165379000:e165498550:AP:FL,ISOT-bc87-769e-6355-2e08:s165379450:e165498350:NC:FL
CPNE1	3	2	neurons,astrocytes,microglia	ISOT-5f54-88f4-1575-2ae4:s35626000:e35664950:EC:FL,ISOT-f80a-ad7f-d77c-0ac5:s35626000:e35664950:AP:FL
CPSF6	3	2	neurons,astrocytes,microglia	ISOT-951e-41da-1acc-c5cc:s69239550:e69274400:AP:FL,ISOT-c1a6-890e-612b-b8cc:s69239550:e69269950:DN:FL
CRABP2	3	2	neurons,astrocytes,microglia	ISOT-82b1-ed78-fd6c-ea88:s156699600:e156705850:AP:FL,ISOT-963d-445b-54e2-2a98:s156699600:e156705600:AP:FL
CREB1	2	2	neurons,microglia	ISOT-cb0e-ad85-10e6-55f6:s207529950:e207606000:AP:FL,ISOT-f5d8-141b-eaa2-9580:s207529850:e207603450:AP:FL
CREG1	2	2	neurons,microglia	ISOT-10de-113c-b720-c7d9:s167541000:e167553850:AP:FL,ISOT-272d-43cf-5f66-d81c:s167541000:e167553800:AP:FL
CRIP2	3	2	neurons,astrocytes,microglia	ISOT-85e7-d6ae-1e09-5997:s105474800:e105480200:AP:FL,ISOT-c5a8-c0ef-ba84-0956:s105474800:e105480100:AP:FL
CRMP1	3	2	neurons,astrocytes,microglia	ISOT-d9e0-01f7-4ccc-4c76:s5820750:e5888500:AP:FL,ISOT-f7c5-15bf-5daf-df01:s5820750:e5888500:NC:FL
CRYAB	3	2	neurons,astrocytes,microglia	ISOT-8511-ca4e-129a-300a:s111908600:e111913250:AP:FL,ISOT-a76f-b0ac-8ebc-e03d:s111908550:e111911800:AP:FL
CRYBB2P1	3	2	neurons,astrocytes,microglia	ISOT-44c9-4cac-4195-405e:s25448000:e25461700:AP:FL,ISOT-ea81-4630-33ca-c3d0:s25448050:e25461700:AP:FL
